Date,Total_System_Load,Net_Daily_Intake,Children in CBP custody,Children in HHS Care,Children discharged from HHS Care
2023-01-31,7413.5,-197.5,43.875,7369.625,1856
2023-02-28,7967.105263157895,-134.0,171.31578947368422,7795.789473684211,5183
2023-03-31,8190.473684210527,-104.0,245.10526315789474,7945.368421052632,5375
2023-04-30,8092.857142857143,-81.0,250.1904761904762,7842.666666666667,5668
2023-05-31,8404.09090909091,-119.72727272727273,216.95454545454547,8187.136363636364,6256
2023-06-30,6282.1,-80.65,145.65,6136.45,4029
2023-07-31,7073.380952380952,-24.285714285714285,245.28571428571428,6828.0952380952385,4407
2023-08-31,9585.1,-144.15,237.2,9347.9,6470
2023-09-30,10992.368421052632,-135.52631578947367,291.05263157894734,10701.315789473685,6546
2023-10-31,10308.227272727272,-254.95454545454547,102.9090909090909,10205.318181818182,7658
2023-11-30,9909.6,-139.7,183.5,9726.1,5992
2023-12-31,11255.263157894737,-194.68421052631578,186.6315789473684,11068.631578947368,6804
2024-01-31,9021.636363636364,-165.72727272727272,170.5909090909091,8851.045454545454,6496
2024-02-29,8766.8,52.95,441.6,8325.2,5273
2024-03-31,8703.857142857143,-22.333333333333332,321.1904761904762,8382.666666666666,5678
2024-04-30,7336.318181818182,32.0,309.1818181818182,7027.136363636364,4474
2024-05-31,7836.047619047619,40.857142857142854,345.76190476190476,7490.285714285715,4336
2024-06-30,7691.476190476191,-1.380952380952381,283.95238095238096,7407.523809523809,4911
2024-07-31,6498.761904761905,-10.476190476190476,212.42857142857142,6286.333333333333,3899
2024-08-31,6258.736842105263,24.894736842105264,254.47368421052633,6004.263157894737,3073
2024-09-30,6452.636363636364,13.409090909090908,239.22727272727272,6213.409090909091,3692
2024-10-31,6276.285714285715,32.95238095238095,243.42857142857142,6032.857142857143,3194
2024-11-30,6151.421052631579,21.736842105263158,236.73684210526315,5914.684210526316,3001
2024-12-31,6690.409090909091,33.31818181818182,271.72727272727275,6418.681818181818,3662
2025-01-31,5080.045454545455,-71.81818181818181,88.95454545454545,4991.090909090909,3330
2025-02-28,2804.2105263157896,-43.10526315789474,22.68421052631579,2781.5263157894738,1160
2025-03-31,2185.909090909091,-5.409090909090909,21.454545454545453,2164.4545454545455,309
2025-04-30,2298.0,1.173913043478261,24.869565217391305,2273.1304347826085,203
2025-05-31,2439.777777777778,2.611111111111111,32.833333333333336,2406.9444444444443,205
2025-06-30,2511.470588235294,-8.411764705882353,19.058823529411764,2492.4117647058824,281
2025-07-31,2201.1428571428573,-14.666666666666666,13.952380952380953,2187.190476190476,396
2025-08-31,2026.9,-5.35,25.6,2001.3,254
2025-09-30,2118.0454545454545,1.0454545454545454,35.81818181818182,2082.2272727272725,237
2025-10-31,2265.3809523809523,1.0,34.333333333333336,2231.0476190476193,242
2025-11-30,2360.684210526316,1.2105263157894737,34.78947368421053,2325.8947368421054,159
2025-12-31,2481.4666666666667,-1.3333333333333333,36.2,2445.266666666667,144
